Treatment Plant,Date,Virus,Normalised Viral Load (gc/person/day),7-day Median Viral Load (gc/person/day),Rt estimate,Estimate lower bound,Estimate upper bound
Switzerland,2023-11-27,RSV-N,8877285.34172072,6821282.74720521,1.29004875040517,1.12993127118605,1.47109103066967
Switzerland,2023-11-28,RSV-N,6821282.74720521,6824080.97250504,1.28096250317307,1.12009742743504,1.46440911475018
Switzerland,2023-11-29,RSV-N,5004333.41731529,6821282.74720521,1.27165549810142,1.11067067903448,1.45806146239775
Switzerland,2023-11-30,RSV-N,2289632.82327888,6821282.74720521,1.26217591762896,1.10042575294942,1.44892681670225
Switzerland,2023-12-01,RSV-N,10655637.6836495,6821282.74720521,1.25257559013138,1.0919093790764,1.44033099169179
Switzerland,2023-12-02,RSV-N,3872350.07062028,8096246.1077247,1.24292165168012,1.08351594430782,1.43178038822034
Switzerland,2023-12-03,RSV-N,11139381.7682947,8096246.1077247,1.2332842491997,1.07158548539857,1.42114502885012
Switzerland,2023-12-04,RSV-N,8291679.02244231,8096246.1077247,1.22371723159332,1.06108021320551,1.4116997044474
Switzerland,2023-12-05,RSV-N,8096246.1077247,8096246.1077247,1.214211334583,1.04856895406614,1.40124351452403
Switzerland,2023-12-06,RSV-N,5374137.41525488,8096246.1077247,1.20474122357925,1.03848300323514,1.38836960877624
Switzerland,2023-12-07,RSV-N,7969738.22794025,7969738.22794025,1.19528173745053,1.02973378829456,1.37641202317257
Switzerland,2023-12-08,RSV-N,8200007.97071176,7969738.22794025,1.18581164237082,1.02173624173549,1.3628399475478
Switzerland,2023-12-09,RSV-N,7215778.0906964,7969738.22794025,1.17631077308641,1.01388933880313,1.34881275407334
Switzerland,2023-12-10,RSV-N,5922852.28541785,7969738.22794025,1.16675791261984,1.00698268539949,1.33525743867092
Switzerland,2023-12-11,RSV-N,10190188.6446207,7215778.0906964,1.15712836297597,1.0012100233514,1.32172719080012
Switzerland,2023-12-12,RSV-N,11628696.7486909,7123417.49984876,1.14739672701769,0.99392706274563,1.30916253036245
Switzerland,2023-12-13,RSV-N,6993407.85745691,7123417.49984876,1.13755179907911,0.987372259071869,1.29519110569007
Switzerland,2023-12-14,RSV-N,5486623.78806725,10003050.4747631,1.12764449106754,0.979317189944007,1.28445426562384
Switzerland,2023-12-15,RSV-N,7123417.49984876,10003050.4747631,1.11774053558924,0.973048116857531,1.27354127786453
Switzerland,2023-12-16,RSV-N,10003050.4747631,10003050.4747631,1.10789676445219,0.965500675242788,1.26556893753303
Switzerland,2023-12-17,RSV-N,10597134.0190176,10003050.4747631,1.09813262137891,0.956593329382821,1.25501057961094
Switzerland,2023-12-18,RSV-N,11024907.817851,10597134.0190176,1.08845800325649,0.946404605868503,1.24716905993265
Switzerland,2023-12-19,RSV-N,14722925.6255764,11024907.817851,1.07888773580267,0.937999160592551,1.23949466649319
Switzerland,2023-12-20,RSV-N,9570769.33808379,11047751.9291436,1.06945527541114,0.928294638169076,1.23239006223326
Switzerland,2023-12-21,RSV-N,12900371.3948836,11340534.3640885,1.06019838455043,0.91929054328815,1.22438309048284
Switzerland,2023-12-22,RSV-N,11047751.9291436,11340534.3640885,1.05115617804389,0.910959743069133,1.21269310029741
Switzerland,2023-12-23,RSV-N,11340534.3640885,11047751.9291436,1.04237265142526,0.904312811821703,1.20072747966917
Switzerland,2023-12-24,RSV-N,17149017.9951962,11047751.9291436,1.03389203041369,0.897166800166354,1.18846299572046
Switzerland,2023-12-25,RSV-N,8861384.27100472,9272678.49392004,1.02574973620823,0.890638586697567,1.17544763873626
Switzerland,2023-12-26,RSV-N,7416193.1983602,8861384.27100472,1.01795979040892,0.885578861556512,1.16459973289774
Switzerland,2023-12-27,RSV-N,9272678.49392004,8861384.27100472,1.01052975620788,0.878570640709129,1.15326430340713
Switzerland,2023-12-28,RSV-N,8355795.97219647,8861384.27100472,1.00346345614035,0.874129633411619,1.14284790491319
Switzerland,2023-12-29,RSV-N,4414793.32285412,8997729.27371501,0.996754777880422,0.867715879815976,1.1345320638496
