strain	filter	kwargs
MH447947	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
HQ262554	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
HQ384146	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
KC709724	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
DQ229487	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
KT191401	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
HV988775	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
ON461675	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
HB384043	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
MH447887	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
KC709696	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
AB113375	filter_by_query	"[[""query"", ""subtypes == subtypes & G_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
